This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Sun Aug 03 09:14:16 2025
Filter Values: disposition notContains F AND notContains EB; stellar_distance lessThan 300; stellar_teff lessThan 4200; stellar_radius lessThan 0.65; tfopwg_disposition notContains F AND notContains A

"TIC ID","TOI","CTOI","Master priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Predicted RV Semi-amplitude (m/s)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","View all TFOPWG Disposition","TESS mag","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM Dec (mas/yr)","Transit Epoch (BJD)","Period (days)","Duration (hours)","Depth (mmag)","Depth (ppm)","Planet Radius (R_Earth)","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Teff (K)","Stellar log(g) (cm/s2)","Stellar Radius (R_Sun)","Stellar Metallicity","Stellar Mass (M_Sun)","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"250111245","5293.01","","3","5","3","4","4","4","58.3","179.9","97.44","64.9","6","1","0","PC","CP","5293.01","13.9766","1","qlp-s42-faintsearch","FAINT","355.828682","-2.045095","-16.78","0.39","2459466.496662","2.9304371","1.73","56.639992","50830","11.8933","31.8905","662","21","162.229","3692","4.77","0.5","","0.545","42","found in faint-star QLP search","2022-02-28","2024-08-22","2025-07-31"
"387690507","530.01","","3","5","3","4","4","4","16.1","94.7","55.83","29","3","1","8","CP","CP","530.01","13.5287","1","spoc-s01-s72-b0A","SPOC","103.412833","12.881578","13.682","-62.577","2458470.202595","6.3875739109997","2.5660579019795","26.369111","23994.296040842","8.6121163358533","14.259044641572","495.61262030108","44.60936","148.762","3688","4.78199","0.54476898908615","","0.540526","6,33,44,45,71,72","TOI-530 b","2019-03-28","2024-11-15","2025-07-31"
"246965431","5319.01","","2","5","2","4","4","4","11.3","111.5","13.78","8.8","10","4","4","PC","CP","5319.01","12.0828","1","qlp-s43-faintsearch","FAINT","35.213556","23.520441","41.969","-86.743","2459884.041681","4.0785273","1.561","4.929559","4530","3.74681","38.7885","695","24","61.171","3580","4.77","0.48","","0.5","18,42,43,58","slightly fainter star (TIC 620306169) 3 arcsec away; found in faint-star QLP search; L1 candidate","2022-02-28","2024-08-22","2025-07-31"
"144700903","532.01","","3","5","3","4","4","4","22","86.2","26.78","18","2","3","12","CP","CP","532.01","12.6785","1","spoc-s01-s72-b0A-CP","SPOC/QLP","85.080054","11.562637","23.368","-38.099","2458470.580837","2.3266399902057","1.6497284024865","8.550949","7844.7831198456","5.5911206380606","87.096141382742","779.14713540925","34.0331","135.047","3946","4.69039","0.62360900640488","","0.606938","6,71,72","TOI-532 b","2019-03-28","2024-11-14","2025-07-31"
"16005254","5344.01","","3","5","3","4","4","4","37.2","132.1","68.58","40.9","3","1","1","PC","CP","5344.01","13.2239","1","qlp-s44-faintsearch","FAINT","63.266216","20.915157","40.291","-22.02","2459522.82521","3.7927572","1.47","26.865037","24440","9.66312","13.7486","536","30","138.367","3575","4.67","0.58","","0.57434","43,44","found in faint-star QLP search","2022-02-28","2024-08-22","2025-07-31"
"407591297","5388.01","TIC 407591297.01","2","5","2","4","4","4","12.6","186.7","4.32","4.6","8","3","7","PC","CP","5388.01","10.5737","1","qlp-s48-tois","SPOC","152.176517","35.547557","192.536","133.121","2459630.895748","2.594675","0.313","1.16236","1070","1.89426","3.30231","375","10","18.5226","3495","4.91164","0.31","","0.291486","21,48","low SNR; potential L1 planet; also a CTOI from Alton Spencer","2022-03-24","2022-06-29","2025-07-31"
"200322593","540.01","","3","5","3","4","4","4","7","33.9","0.86","1.7","12","0","5","CP","CP","540.01","11.5045","1","spoc-s01-s36-b0A-CPKP","SPOC","76.309695","-47.937539","-66.085","25.077","2459175.141647","1.2391533635124","0.48877492138977","2.520376","2318.6594409485","0.96547063627517","21.662312609007","550.2321394952","17.89114","14.0022","3042","4.438","0.19711700081825","","0.166161","4,5,6,31,32","TOI-540 b","2019-05-07","2024-09-09","2025-07-31"
"44737596","552.01","","3","5","3","4","4","4","36.2","107.8","67.92","44.4","4","0","5","CP","CP","552.01","13.8231","1","spoc-s01-s36-b0A-PC","SPOC","60.949392","-25.408921","12.872","-1.753","2458413.060435","2.7886540324275","1.8900186089522","28.981573","26339.905795306","9.66512601303","51.948766183885","684.72086006524","43.573982","194.964","3654","4.438","0.58710598945618","","0.577439","4,5,31","HATS-75 b","2019-05-17","2024-09-09","2025-07-31"
"323687123","5557.01","","2","5","2","4","4","4","1.5","14.8","1.38","1.9","2","0","2","CP","CP","5557.01","12.4289","1","spoc-s01-s72-b0A-CP","SPOC","137.201544","11.86225","-458.496","192.629","2459502.342761","4.0179805381288","1.119561622318","3.054029","2808.9118424021","1.1017624014514","4.6439934850174","374.40587082227","9.523334","21.8182","3166","5.07428","0.19435699284077","","0.163462","44,45,46,72","K2-415 b","2022-05-17","2024-06-06","2025-07-31"
"459762279","5573.01","","3","5","3","4","4","4","11.1","74.1","62.66","27.9","3","1","2","PC","CP","5573.01","13.6281","1","qlp-s47-faintsearch","FAINT","136.426","55.307131","-3.633","-56.98","2459600.45002","8.7960328","2.48","25.363612","23090","9.14959","8.51849","475","22","186.562","3695","4.66","0.59","","0.583474","47","found in faint-star QLP search","2022-05-17","2024-08-22","2025-07-31"
"413248763","562.01","","1","5","4","4","1","4","7.5","26.6","2.16","1.8","9","10","9","CP","CP","562.01","8.74094","1","qlp-s62-ffi","SPOC","144.007464","-21.665063","138.694","-990.311","2460011.629018","3.9306027","1.196","1.138448","1048","1.26995","16.4901","561","29","9.44181","3505","4.90573","0.36","","0.34592","8,35,62","GJ 357 b","2019-04-13","2023-04-12","2025-07-31"
"193634953","5688.01","","3","5","3","4","4","4","26.5","84.6","64.57","41.9","6","0","3","PC","CP","5688.01","14.2085","1","qlp-s51-faintsearch","FAINT","266.9231","47.705049","-0.8","65.114","2459750.623008","2.9479689","1.584","26.47558","24090","9.41494","27.6969","639","19","226.318","3588","4.67","0.58","","0.569725","51","found in faint-star QLP search","2022-07-14","2024-08-22","2025-07-31"
"219041246","5713.01","","2","5","2","4","4","4","0.7","49.4","4.13","2.9","5","2","5","PC","CP","5713.01","12.7022","1","spoc-s14-s50-b02","SPOC","208.458732","52.602763","108.488","-19.401","2458745.677964","10.441989610334","1.7143489982959","4.34341","3992.4372643997","1.860547303302","2.4111217158959","317.8151041628","8.136899","40.8668","3271","4.93417","0.29242500662804","","0.267999","16,22,23,49","low SNR; potential L1 planet","2022-08-18","2022-08-18","2025-07-31"
"230055368","5720.01","","2","5","2","4","4","4","5.9","10.6","2.52","2.8","4","4","4","PC","CP","5720.01","11.6196","1","spoc-s14-s50-b02","SPOC","170.313577","25.273294","-350.367","-91.492","2458900.645029","1.4344602383665","0.934887724936","1.116949","1028.2187852432","1.3932190423352","53.970737023825","691.2885072914","7.4162726","35.8256","3421","4.85368","0.37103000283241","","0.358453","22,49","low SNR; potential L1 planet","2022-08-18","2022-08-18","2025-07-31"
"4918918","5747.01","TIC 4918918.01","2","5","2","4","4","4","17.3","18.8","2.85","4","9","2","8","PC","CP","5747.01","10.7818","1","spoc-s14-s50-b02","SPOC","148.37832","35.570548","-87.855","-177.216","2458870.47457","0.57347655188524","0.90045082942762","0.88892","818.39034031906","1.4969530642888","225.4185163647","988.25073571913","9.799914","28.5321","3466","4.80761","0.42090800404549","","0.41487","21,48","low MES; potential L1 planet","2022-09-01","2022-09-01","2025-07-31"
"328081248","5799.01","TIC 328081248.01","1","5","1","4","4","4","5.6","110.5","4.62","3.8","5","4","2","PC","CP","5799.01","11.1798","1","spoc-s54-b02","SPOC","301.630179","15.989142","177.635","244.205","2459772.334479","4.1645448195356","1.5725422489736","2.839914","2612.2397483536","1.9881392784677","13.326530055103","487.30292738925","12.77098","27.8123","3521","4.8805","0.34335801005363","","0.32653","54","potential multi","2022-09-22","2022-09-22","2025-07-31"
"102734241","6002.01","","2","5","2","4","4","4","0.5","54.9","3.02","2.5","4","1","3","PC","CP","6002.01","12.6396","1","spoc-s14-s55-b02","SPOC","299.614252","32.28717","-37.998","-346.561","2458692.759945","10.904839246192","1.5530647682148","4.385203","4030.7760993203","1.5489481972591","1.8239544827013","296.39662123879","7.6758533","32.0266","3272","4.99712","0.24212099611759","","0.212382","14,41,54,55","low SNR","2022-12-01","2022-12-01","2025-07-31"
"286201103","6008.01","","2","5","2","4","4","4","10","18.2","2.09","4.1","10","1","2","PC","CP","6008.01","12.2936","1","spoc-s14-s60-b0A-PC","SPOC","310.448734","49.646899","158.442","44.404","2458711.372904","0.85737269789435","0.54785980763908","2.223375","2045.7091220809","1.2465478356297","42.012202005404","649.32722270026","8.719756","23.1008","3098","5.00721","0.23504799604416","","0.204861","15,16,41,55,56","sub-Earth candidate","2022-12-01","2023-05-19","2025-07-31"
"388076422","6034.01","TIC 388076422.01","3","5","3","4","4","4","91.8","248.2","100.15","74.2","3","0","2","PC","CP","6034.01","13.2297","1","spoc-s14-s60-b0A-PC","SPOC","317.900139","68.402076","-2.426","-5.041","2459883.905467","2.5761795598031","1.5879378675918","55.581565","49904.252872837","12.145086914973","45.354106795076","661.87184025634","56.127953","117.992","3628","4.73924","0.49790498614311","","0.495981","56,57,58","V-shaped","2023-01-20","2023-05-19","2025-07-31"
"18318288","6086.01","","2","5","2","4","4","4","3.1","13.5","0.86","1.3","6","1","4","PC","CP","6086.01","12.4106","1","spoc-s14-s55-b02","SPOC","265.370424","30.303776","-110.595","2.165","2458984.759725","1.3888584401676","0.82670023519208","1.491211","1372.5136833749","0.96506186796043","31.525738573457","604.34657757057","8.86141","31.4566","3300","4.97775","0.25645598769188","","0.227881","25,26,52,53","host is variable; low SNR","2023-03-02","2023-03-02","2025-07-31"
"296739893","620.01","","1","5","1","4","4","4","11.6","130.2","9.56","5.4","8","4","9","CP","CP","620.01","10.2139","1","spoc-s01-s65-b0A-CP","SPOC/QLP","142.173446","-12.167165","35.872","-389.854","2458518.004514","5.098803777277","1.0252821663939","3.181327","2925.8222433471","3.0503380897218","19.827420984036","538.19084584146","32.28497","33.0231","3633","4.80423","0.54745298624039","","0.542958","8,35,62","TOI-620 b","2019-04-13","2024-10-09","2025-07-31"
"288144647","6223.01","","3","4","3","4","4","4","11.2","64.5","21.69","12.6","3","4","3","PC","CP","6223.01","12.6758","1","qlp-s57-faintsearch","FAINT","355.950598","33.067236","14.046","-29.305","2459879.618086","3.8553342","1.895","7.215842","6624","4.94518","41.8646","708","17","133.122","3909","4.65","0.6","","0.587363","57","found in faint-star QLP search","2023-04-03","2024-08-22","2025-07-31"
"52005579","6251.01","","2","5","2","4","4","4","0.5","16.9","0.87","0.6","3","0","5","CP","CP","6251.01","10.1769","1","spoc-s01-s72-b0A-PC","SPOC","3.957914","13.557617","618.003","329.319","2459458.900535","12.761470584332","1.0497761141383","1.320243","1215.2495801068","0.97057626511049","1.9017251155871","299.50679865299","9.489927","12.21","3376","4.9613","0.26942700147629","","0.242168","42,43,57,70","Gliese 12 b","2023-04-03","2024-09-17","2025-07-31"
"261135533","6255.01","TIC 261135533.01","1","5","1","4","4","4","17.4","33.1","0.85","1.7","14","2","2","PC","CP","6255.01","10.4458","1","spoc-s14-s60-b02","SPOC","331.503161","39.298828","69.188","-458.917","2458738.712374","0.23818233357756","0.47635355796198","0.536461","493.9763956693","0.96173855727279","588.99435081734","1256.4567155639","11.5334835","20.3167","3423","4.85554","0.3690769970417","","0.356208","16,56","short duration; USP","2023-04-06","2023-04-06","2025-07-31"
"328513434","6383.01","","3","5","3","4","4","4","68.8","169.2","88.99","79.8","4","0","1","PC","CP","6383.01","14.4506","1","qlp-s59-faintsearch","FAINT","60.424695","60.891368","41.134","-51.191","2459933.595246","1.7904917","1.223","52.626682","47315","11.4109","31.6712","660","28","171.319","3425","4.78","0.46","","0.453737","59","found in faint-star QLP search","2023-05-03","2024-08-22","2025-07-31"
"142277868","6508.01","","3","5","3","4","4","4","2.5","287.1","71.85","56.1","10","1","4","PC","CP","6508.01","14.3088","1","qlp-s63-faintsearch","FAINT","180.764269","-33.6655","-413.185","-35.015","2460038.984559","18.9926881","1.506","274.940021","223710","10.231","0.172006","179","56","48.4666","3003","5.05","0.21","","0.174017","37,63","found in faint-star QLP search","2023-06-15","2024-08-22","2025-07-31"
"35009898","654.01","","1","5","1","4","4","4","12.6","93.4","7.34","7.3","11","5","16","PC","CP","654.01","12.2255","1","spoc-s01-s72-b0A-PC","SPOC/QLP","164.724551","-5.547545","99.174","-266.107","2458543.433731","1.5275638978134","1.3727054860158","3.144959","2892.4227935759","2.6103318291287","59.36694716774","707.95544893749","25.678757","57.7553","3433","4.89676","0.42795300483704","","0.422643","9,36,45,46,62,72","check neighbor TIC 35009899 (Tmag ~ 16.2)","2019-05-07","2024-09-19","2025-07-31"
"54962195","663.01","","3","5","4","4","3","4","7.2","65.6","6.5","4.7","35","5","9","PC","CP","663.01","11.7602","1","spoc-s01-s65-b0A-PC","SPOC/QLP","160.065852","-8.511083","-142.182","-82.962","2458544.387711","2.5989031153833","1.6635706342516","2.122801","1953.2615465252","2.4312854048867","48.461531939285","672.92867388756","15.326795","64.2308","3719","4.76941","0.51236099004745","","0.510139","9,35,62","TOI-663 b","2019-05-07","2024-09-30","2025-07-31"
"54962195","663.02","","3","5","4","4","3","4","10.9","102.5","14.79","8.8","35","5","9","PC","CP","663.02","11.7602","2","spoc-s01-s65-b0A-PC","SPOC/QLP","160.065852","-8.511083","-142.182","-82.962","2458543.405068","4.6955986040928","2.1638720942376","2.140033","1969.1017169658","2.6626375125943","22.022298174183","552.50397791672","13.220571","64.2308","3719","4.76941","0.51236099004745","","0.510139","9,35,62","L1 planet candidate","2019-05-07","2025-07-09","2025-07-31"
"54962195","663.03","","1","1","1","4","4","4","1.8","36.1","4.63","2.4","35","5","9","PC","CP","663.03","11.7602","3","spoc-s01-s65-b0A-PC","SPOC","160.065852","-8.511083","-142.182","-82.962","2458547.138797","7.1024748585508","2.7542652434357","1.431635","1317.715762045","1.9895243960714","12.683457311821","481.31474060355","8.827338","64.2308","3719","4.76941","0.51236099004745","","0.510139","9,35,62","candidate 3 in multi-planet system; low SNR","2021-07-08","2024-02-15","2025-07-31"
"151825527","672.01","","3","5","3","4","4","4","22.9","132.3","22.85","14.3","8","1","4","PC","CP","672.01","11.6739","1","spoc-s01-s65-b0A-PC","SPOC/QLP","167.990863","-39.328115","85.141","-74.728","2458546.478904","3.6335834172318","1.8069693346964","9.452671","8668.4420488879","5.1614854022811","33.474163607326","613.47544339","72.58985","66.9071","3765","4.75169","0.54406797885895","","0.539888","9,10,36,63","","2019-05-07","2025-07-09","2025-07-31"
"158588995","674.01","","3","5","3","4","4","4","51.4","240.1","24.23","22","7","1","9","CP","CP","674.01","11.8764","1","spoc-s01-s65-b0A-CP","SPOC/QLP","164.586559","-36.858109","-163.27","-3.766","2459301.778142","1.9771658419252","1.1104153448681","15.172616","13877.305969833","5.2706002713204","40.722768870116","644.28656367819","127.449066","46.0851","3467","4.87946","0.42194399237633","","0.416017","9,10,36,63","TOI-674 b","2019-05-07","2024-02-14","2025-07-31"
"67512645","6894.01","TIC 67512645.01","3","5","3","4","4","4","40.8","314.7","64.59","83.3","10","3","2","PC","CP","6894.01","14.9046","1","spoc-CTOIs","CTOI","173.469142","12.451091","-146.8","22.142","2459639.258654","3.3706302672769","1.5183944388798","197.853116","166589.91073859","9.3830336012273","6.6189833742316","409.08878355189","49.979717","73.8131","3133","5.02671","0.22212100028992","","0.191349","49","CTOI from Kendra Nguyen (SPOC-FFI); v-shaped","2024-02-01","2024-02-01","2025-07-31"
"77156829","696.01","","1","4","1","4","4","4","8.3","25.3","0.88","1.3","45","10","3","CP","CP","696.01","10.4276","1","spoc-s01-s36-b0A-PC","SPOC","68.178987","-39.790874","239.41","-967.772","2458411.473627","0.86024057895247","0.51243446152304","0.781507","719.53577078646","0.97187948817576","112.39713908447","830.44058138009","13.214655","19.8782","3450","4.89044","0.33818998932838","","0.320556","4,5,31,32","LHS 1678 b","2019-05-17","2024-09-09","2025-07-31"
"77156829","696.02","","1","4","1","4","4","4","2.6","14.9","1.13","1","45","10","3","PC","CP","696.02","10.4276","2","spoc","SPOC","68.178987","-39.790874","239.41","-967.772","2458411.067517","3.6942604088346","1.1278521136011","0.904602","832.82259210465","1.042840695527","16.10195034027","510.90407928239","13.202267","19.8782","3450","4.89044","0.33818998932838","","0.320556","4,5,31,32","potential multi; real period is 3.69 days confirmed with SPOC Y1+Y3 multisector","2019-05-17","2021-07-28","2025-07-31"
"77156829","696.03","","1","5","1","4","4","4","1.3","15.2","0.56","0.4","45","10","3","CP","CP","696.03","10.4276","3","spoc-s01-s36-b0A-PC","SPOC","68.178987","-39.790874","239.41","-967.772","2458414.562933","4.9652068552764","0.93615235843292","0.687552","633.05808491718","0.85669246416633","10.855888198289","462.95213370933","9.041866","19.8782","3450","4.89044","0.33818998932838","","0.320556","4,5,31,32","LHS 1678 d","2021-07-08","2024-09-09","2025-07-31"
"150428135","700.01","","2","5","2","4","4","4","1.6","80.7","7.23","3.3","16","3","3","CP","CP","700.01","10.9102","1","spoc-s01-s69-b0A-CP","SPOC","97.095717","-65.578615","-102.75","161.805","2459303.157062","16.051105978455","1.396822858368","3.010052","2768.5212417896","2.5869211660558","2.7275631386718","327.76566159889","39.344032","31.1265","3482","4.438","0.41945698857307","","0.413261","1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,63,64,65,66,68,69","TOI-700 c / TOI-700.01","2019-04-30","2024-02-14","2025-07-31"
"150428135","700.02","","2","5","2","4","4","4","0.1","3.9","2.33","0.8","16","3","3","CP","CP","700.02","10.9102","2","spoc-s01-s69-b0A-CP","SPOC","97.095717","-65.578615","-102.75","161.805","2458330.486155","37.423683827416","3.3650101248839","0.801082","737.55193871549","1.3296571127861","0.88223858605574","247.18166976583","13.430718","31.1265","3482","4.438","0.41945698857307","","0.413261","1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,63,64,65,66,68,69","TOI-700 d / TOI-700.02","2019-04-30","2024-02-14","2025-07-31"
"150428135","700.03","","2","5","2","4","4","4","0.5","6.3","0.85","0.5","16","3","3","CP","CP","700.03","10.9102","3","spoc-s01-s69-b0A-CP","SPOC","97.095717","-65.578615","-102.75","161.805","2458331.349645","9.9772729631573","2.2583630996384","0.499393","459.85254790772","0.96172882830263","5.1416079313861","384.05594200181","13.609558","31.1265","3482","4.438","0.41945698857307","","0.413261","1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,63,64,65,66,68,69","TOI-700 b / TOI-700.03","2019-07-23","2024-02-14","2025-07-31"
"150428135","700.04","","2","5","2","4","4","4","0.1","4.5","0.81","0.3","16","3","3","CP","CP","700.04","10.9102","4","spoc-s01-s69-b0A-CP","SPOC","97.095717","-65.578615","-102.75","161.805","2458352.99952","27.809689757355","2.9558823410895","0.441793","406.82325165664","0.94918578055327","1.3107501123849","272.8976057758","7.2197175","31.1265","3482","4.438","0.41945698857307","","0.413261","1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,63,64,65,66,68,69","TOI-700 e / TOI-700.04","2021-11-19","2024-02-14","2025-07-31"
"260004324","704.01","TIC 260004324.01","1","5","1","4","4","4","2.2","8.3","1.43","0.9","6","2","3","CP","CP","704.01","10.1428","1","spoc-s01-s69-b0A-CP","SPOC/QLP","91.089986","-55.311538","681.726","342.132","2458327.416979","3.8143008972951","1.3793952094512","0.497154","457.79091521651","1.1147162881172","26.371188305842","577.96584509365","25.53161","29.8424","3625","4.7833","0.50406801700592","","0.502062","1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,64,65,66,67,68,69","LHS 1815 b","2019-04-30","2024-09-19","2025-07-31"
"459323923","7149.01","","3","5","3","4","4","4","56.5","216.9","89.82","86.9","3","1","1","PC","CP","7149.01","14.8294","1","qlp-s79-faintsearch","FAINT","244.738466","19.175812","-7.757","12.878","2460475.347656","2.6520679","1.53","146.454989","126188","11.2606","15.7673","555","36","126.126","3247","4.88","0.34","","0.327234","51,52,78,79","found in faint-star QLP search","2024-10-24","2024-10-23","2025-07-31"
"271971130","715.01","","3","5","3","4","4","4","0.1","34.2","3.18","2.2","10","0","2","PC","CP","715.01","13.5308","1","spoc-s01-s69-b0A-CP","SPOC","113.852328","-73.577409","82.634","9.987","2458327.552087","19.287957909893","2.1841643128741","5.195227","4773.5508832355","1.7145308221625","0.72128710251468","235.04271291817","20.484884","42.4048","3075","4.438","0.22982400655746","","0.199363","1,2,3,4,5,6,7,8,9,10,11,12,13,27,29,30,31,32,33,34,35,36,37,39,61,62,63,64,65,66,67,68,69","TOI-715 b","2019-05-24","2025-07-09","2025-07-31"
"34068865","731.01","","3","5","3","4","4","4","239.2","983.8","7.52","11.9","5","2","2","CP","CP","731.01","8.031941","1","qlp-s62-ffi","SPOC","146.121464","-45.779016","-462.549","-582.814","2460013.7131","0.3219233","0.199","0.221513","204","2.66076","469.443","1296","17","9.41263","3518","4.82492","0.46","","0.454797","9,35,36,62","GJ 367 b","2019-06-06","2023-04-12","2025-07-31"
"36724087","732.01","","1","5","1","4","4","4","10.5","19.2","1.56","2.1","14","8","7","CP","CP","732.01","10.5848","1","spoc-s01-s36-b0A","SPOC","154.644903","-11.717801","-341.409","-247.87","2459988.468158","0.76839038111076","1.0241241543017","0.981942","903.99332140946","1.1406446955934","112.64090666011","830.89048174332","12.229575","21.9814","3329","4.94957","0.37413901090622","","0.362023","9,35,62","LTT 3780 b / TOI-732.01","2019-06-06","2023-10-04","2025-07-31"
"36724087","732.02","","1","5","1","4","4","4","2.1","109","5.9","3.2","14","8","7","CP","CP","732.02","10.5848","2","spoc-s62-b0A","SPOC","154.644903","-11.717801","-341.409","-247.87","2459992.612785","12.253430820242","1.3699490378551","4.05697","3729.6347090621","2.2967943695148","2.8062633608138","330.10481269349","10.1567335","21.9814","3329","4.94957","0.37413901090622","","0.362023","9,35,62","LTT 3780 c / TOI-732.02","2019-06-06","2023-10-02","2025-07-31"
"181804752","736.01","","2","4","5","4","3","2","8.3","253.1","9.22","12.8","58","3","8","CP","CP","736.01","13.5571","1","spoc-s01-s65-b0A-CP","SPOC","165.690484","-16.406444","-221.078","-58.999","2458546.508066","4.9899175788749","1.3819653750545","20.751572","18931.410581168","2.985843595244","2.2410792399625","312.0570888658","26.609259","26.4927","2940","5.14315","0.17143000662327","","0.14169","9,36,63","LP 791-18 c / TOI 736.01","2019-06-06","2024-02-14","2025-07-31"
"181804752","736.02","","2","4","5","4","3","2","8.8","21","1.83","4.4","58","3","8","CP","CP","736.02","13.5571","2","spoc-s01-s65-b0A-CP","SPOC","165.690484","-16.406444","-221.078","-58.999","2458543.558006","0.94799454357822","0.56466297813632","4.570272","4200.5288900366","1.1926392092996","20.519837882984","542.82923700204","10.809539","26.4927","2940","5.14315","0.17143000662327","","0.14169","9,36,63","LP 791-18 b","2019-06-06","2024-01-17","2025-07-31"
"219189765","737.01","","3","5","3","4","4","4","51.8","103.9","98.54","73.8","3","0","6","CP","CP","737.01","14.7599","1","spoc-s01-s65-b0A-CP","SPOC","171.014792","-19.556959","-38.857","39.679","2458544.430655","1.7318529396486","1.6919638993423","40.212311","36359.43017485","12.029949282695","86.636546404149","778.11723070716","44.193367","299.389","3394","4.9186","0.61521899700165","","0.600332","9,36,63","HATS-74 A b","2019-06-06","2024-02-12","2025-07-31"
"359271092","741.01","","3","5","3","4","4","4","2","21.4","0.57","0.3","0","2","4","PC","CP","741.01","7.66874","1","qlp-s62-ffi","SPOC/QLP","140.399376","-60.281169","-840.114","182.09","2460006.41417","7.5768334","2.073","0.313823","289","0.867887","26.1371","629","12","10.454","3766","4.75957","0.53","","0.522473","9,10,36,37,62","Crowded field. High proper motion star.","2019-06-06","2023-04-12","2025-07-31"
"178709444","762.01","TIC 178709444.01","4","5","4","4","4","4","30.1","149","49.53","37.3","5","0","2","PC","CP","762.01","13.6615","1","spoc","UNKNOWN","166.074742","-47.821496","-159.157","-24.515","2459329.505631","3.4716808020319","1.3816977728099","33.770063","30624.643459913","8.027234045234","17.001217020345","517.89265579447","40.89199","98.4458","3399","4.91468","0.42678499221802","","0.421357","10,36,37","epoch from qlp-s37-tois; all other parameters from spoc-s01-s39 multisector","2019-06-11","2021-11-09","2025-07-31"
"277634430","771.01","","3","5","3","4","4","4","4.9","15.5","2.53","3.5","7","0","1","PC","CP","771.01","12.0874","1","spoc-s01-s39-b0A-PC","UNKNOWN","164.11389","-72.985174","39.475","-76.411","2459335.352285","2.3260077350821","0.99608678448879","3.566838","3279.789131833","1.3960868737115","14.896600189798","501.06208361105","22.615362","25.2788","3231","4.438","0.24185700714588","","0.2121","10,11,12,37,38","Possible centroid offset; s38 affected by scattered light","2019-06-05","2022-03-21","2025-07-31"
"306996324","776.01","TIC 306996324.01","2","5","2","4","4","4","1.9","70.5","5.07","2","7","4","8","CP","CP","776.01","9.73597","1","spoc-s01-s65-b0A-CP","SPOC","178.577997","-37.553357","251.112","-145.059","2458572.599749","15.665332188525","2.9937798914273","1.431567","1317.6530479617","2.0999942253943","5.0996209302927","383.26946748613","17.159199","27.1701","3806","4.73575","0.53302401304245","","0.52973","10,37,63","TOI-776 c / TOI 776.01","2019-06-11","2024-10-02","2025-07-31"
"306996324","776.02","TIC 306996324.02","2","5","2","4","4","4","3","69.9","3.79","1.8","7","4","8","CP","CP","776.02","9.73597","2","spoc-s01-s65-b0A-CP","SPOC","178.577997","-37.553357","251.112","-145.059","2458571.415963","8.2466132695014","2.4120909444072","1.163671","1071.2067847944","1.7687314631156","11.99747540996","474.67047248391","18.458174","27.1701","3806","4.73575","0.53302401304245","","0.52973","10,37,63","TOI 776.02 / TOI-776 b","2019-06-11","2024-10-02","2025-07-31"
"429358906","782.01","","2","5","2","4","4","4","2.1","57.2","7.25","4.3","9","2","12","PC","CP","782.01","12.2875","1","spoc-s01-s65-b0A-PC","SPOC","183.920361","-18.910338","-163.72","-36.819","2458577.042174","8.0239811468365","1.7082730596787","4.362618","4010.0577601438","2.592665251282","5.3901674678228","388.6156750986","14.5085945","52.5122","3331","4.94964","0.40651598572731","","0.398817","10,36,63","L1 candidate","2019-06-11","2024-02-15","2025-07-31"
"362249359","833.01","","2","5","2","4","4","4","7.8","10.3","2.51","2.3","6","2","3","CP","CP","833.01","10.1461","1","spoc-s01-s65-b0A-CP","SPOC","145.645472","-62.475886","-157.239","79.715","2458544.120496","1.0418890027079","1.2737667259348","0.505403","465.38541119533","1.3890309919376","270.06817400863","1033.9227740988","16.191872","41.7148","3965","4.68337","0.60333597660065","","0.590802","9,10,11,36,37,63,64","TOI-833 b","2019-06-17","2024-02-14","2025-07-31"
"261257684","904.01","","1","1","1","4","4","4","2.2","53.8","5.96","2.6","7","5","6","CP","CP","904.01","10.846","1","spoc-s01-s69-b0A-PC","SPOC","89.371273","-83.129726","-28.941","110.858","2458626.968411","10.877274819865","2.682953269299","1.985692","1827.2189378538","2.3096129984998","8.316864303878","433.1214112378","28.084484","46.0891","3992","4.61929","0.53243899345398","","0.529185","12,13,27,38,39","TOI-904 b","2019-07-15","2024-08-14","2025-07-31"
